time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
112.865184,-0.175944909,0.214603677,-0.162136406,-0.409022123,1.191566229,-10.03961945
112.869621,-0.180624992,0.219704598,-0.154808864,-0.437515199,1.153364301,-10.11539745
112.874019,-0.185312629,0.223616511,-0.143545464,-0.477668732,1.080078959,-10.20047283
112.878186,-0.193598643,0.23352997,-0.133519411,-0.465106785,1.029999256,-10.19963264
112.903669,-0.215750888,0.271008283,-0.086893864,-0.55690223,0.90173918,-10.25545883
112.906014,-0.217986047,0.276437968,-0.079229169,-0.591678977,0.87700516,-10.22788334
112.910026,-0.219369531,0.279949188,-0.071781419,-0.633553565,0.869248569,-10.15706825
112.914414,-0.219369784,0.282074928,-0.065504119,-0.669751763,0.912337601,-10.12236214
112.91787,-0.219369724,0.283035815,-0.058690377,-0.685616016,0.93225497,-10.08456135
112.923107,-0.220114604,0.283036053,-0.052304361,-0.718978643,0.977570713,-10.09549236
112.926318,-0.222455963,0.280801117,-0.045067642,-0.753997922,1.010284662,-10.11545944
112.929969,-0.225755095,0.279417664,-0.039639756,-0.784758091,1.014162064,-10.0952549
112.935228,-0.229054138,0.276331425,-0.034106079,-0.805343688,0.983871222,-10.02204704
112.93799,-0.22873506,0.27388376,-0.027295861,-0.807471991,0.931049109,-9.955973625
112.962823,-0.206600174,0.273457259,0.000799278,-0.773410022,0.568516731,-9.786973953
112.965862,-0.199574515,0.275586396,0.004311716,-0.715894163,0.62693125,-9.807660103
112.965862,-0.199574515,0.275586396,0.004311716,-0.715894163,0.62693125,-9.807660103
112.969864,-0.1905303,0.279310703,0.007184306,-0.653912604,0.714640975,-9.883470535
112.973887,-0.182016701,0.281864822,0.0099514,-0.58080703,0.785882592,-9.941465378
112.979624,-0.172013775,0.283035427,0.011334362,-0.493032455,0.829501092,-9.941465378
112.982426,-0.161579221,0.282609612,0.01335842,-0.45939675,0.814714253,-9.912713051
112.985971,-0.152216643,0.282503664,0.01548584,-0.429830343,0.744685352,-9.859228134
112.990031,-0.14104417,0.28058815,0.017507397,-0.446158797,0.671517193,-9.813842773
112.994025,-0.128918707,0.275377691,0.019209079,-0.468174815,0.580952168,-9.784611702
112.997872,-0.118269071,0.266433924,0.021445483,-0.494429469,0.511334538,-9.745145798
113.010012,-0.08528053,0.253663659,0.027617712,-0.431727886,0.32330367,-9.67525959
113.01386,-0.074211881,0.248343125,0.029320147,-0.410432965,0.225886568,-9.679308891
113.018021,-0.062932238,0.242277324,0.031768169,-0.430288643,0.134049386,-9.671238899
113.053878,0.059884302,0.258346975,0.040069625,-0.064473107,0.265131146,-10.02921772
113.058067,0.071156524,0.263131827,0.042302903,-0.03068018,0.260519594,-10.07716942
113.061983,0.081059016,0.265156806,0.043793838,-0.027111707,0.308022559,-10.10143566
113.066783,0.090841889,0.264942378,0.045388535,-0.008239167,0.397849411,-10.05491161
113.071451,0.100752071,0.264411867,0.047200363,-0.020267695,0.480592519,-10.00371742
113.071451,0.100752071,0.264411867,0.047200363,-0.020267695,0.480592519,-10.00371742
113.073889,0.110123955,0.26345107,0.049332298,-0.02543617,0.552137256,-9.967834473
113.077991,0.119158231,0.262070537,0.052307561,-0.038232688,0.598572016,-9.923171043
113.301965,0.051368311,-0.108594485,0.192572087,-0.419421464,0.430887789,-9.454458237
113.406693,0.032318849,-0.088057585,0.158836439,-0.46390596,0.172319695,-9.698796272
113.411858,0.035939641,-0.11051812,0.157772377,-0.433384508,0.246864468,-9.317703247
113.415096,0.040194102,-0.127114266,0.151067749,-0.50838989,0.468927294,-9.23887825
113.419647,0.041683167,-0.150321081,0.14063561,-0.630029321,0.503311038,-9.270720482
113.422635,0.038171869,-0.181717694,0.13457112,-0.699105263,0.432570159,-9.13211441
113.426841,0.034874178,-0.220348671,0.133295044,-0.445363194,0.410748005,-9.045731544
113.431884,0.037851878,-0.234919816,0.129040226,-0.253330499,0.326947629,-9.336718559
113.435087,0.039447509,-0.242375657,0.122544862,-0.148935542,0.128385931,-9.771588326
113.446686,0.030721592,-0.246842757,0.110308804,0.491310537,-0.278424531,-10.04483509
113.451575,0.023482284,-0.227153778,0.104559883,0.479011685,-0.157704473,-10.24069786
113.45468,0.01433243,-0.222468689,0.099133611,0.437608212,-0.012570935,-10.25474644
113.45878,0.011140252,-0.21235387,0.096259922,0.376504779,0.130435437,-10.09542084
113.45878,0.011140252,-0.21235387,0.096259922,0.376504779,0.130435437,-10.09542084
113.463229,0.010820427,-0.200127274,0.094239578,0.208194345,0.262878954,-9.850341797
113.466784,0.004751718,-0.203424916,0.091150142,0.011400008,0.338810712,-9.61458683
113.470936,-0.003969379,-0.215549827,0.085407116,-0.100690007,0.344384819,-9.450673103
113.476197,-0.012696929,-0.218423933,0.079978064,-0.095959149,0.279161721,-9.433059692
113.478685,-0.015571741,-0.220871687,0.077743143,-0.007953452,0.206006408,-9.520766258
113.483112,-0.017808987,-0.23269096,0.073909149,0.094517507,0.136686802,-9.651525497
113.496092,-0.026852963,-0.262588471,0.058907785,0.253751636,0.101544917,-9.636738777
113.498805,-0.02642828,-0.275472403,0.054967128,0.299913734,0.132335842,-9.672622681
113.503236,-0.029087309,-0.287173599,0.049966652,0.392412633,0.127974808,-9.644605637
113.506832,-0.031643577,-0.285573781,0.045175701,0.471235484,0.067582674,-9.667905808
113.510833,-0.034621507,-0.277488828,0.041346438,0.56017071,-0.060798381,-9.726130486
113.5156,-0.038773164,-0.274617583,0.037939634,0.613621533,-0.20914793,-9.797446251
113.518785,-0.043986123,-0.278659225,0.034216218,0.608676851,-0.357639521,-9.836410522
113.522827,-0.050162122,-0.278763533,0.029639421,0.589930236,-0.499441087,-9.742963791
113.527808,-0.054309506,-0.270571917,0.026234951,0.465061784,-0.604815662,-9.650789261
113.535618,-0.053670876,-0.270253271,0.021551767,0.186984599,-0.637033761,-9.436594009
113.535618,-0.053670876,-0.270253271,0.021551767,0.186984599,-0.637033761,-9.436594009
113.547117,-0.054841809,-0.287495643,0.010696715,0.104220562,-0.430098534,-9.493246078
113.550684,-0.054416049,-0.29674691,0.008357166,0.149865687,-0.419919014,-9.625043869
113.555152,-0.055162814,-0.302607179,0.006439311,0.160286576,-0.44902876,-9.755631447
113.558675,-0.055798147,-0.307390422,0.003781329,0.174753919,-0.525767803,-9.825483322
113.56269,-0.056544453,-0.30994752,0.001438552,0.151274443,-0.573087156,-9.840930939
113.567658,-0.056544565,-0.309841067,5.51E-05,0.138519913,-0.57889241,-9.91009903
113.570945,-0.056758143,-0.310798585,-0.000795296,0.137328535,-0.564598799,-10.00039959
113.575843,-0.059098165,-0.311862677,-0.002605253,0.151766598,-0.545940518,-10.11044884
113.578766,-0.06165342,-0.311650276,-0.004522128,0.1474794,-0.536733031,-10.1822443
113.58266,-0.063674517,-0.312075824,-0.007075179,0.095930703,-0.570407987,-10.21432972
113.595799,-0.066653721,-0.31292811,-0.014312561,-0.062383845,-0.766222954,-10.15089607
113.598975,-0.063887216,-0.304839313,-0.016972419,-0.363817126,-0.597309232,-10.2559309
113.602666,-0.057928346,-0.270354569,-0.020484848,-0.640129387,0.198605806,-10.0548687
113.607231,-0.055480499,-0.258545667,-0.021548424,-0.427703649,0.539202034,-10.04367733
113.610678,-0.061547294,-0.325233281,-0.018998329,0.014808767,-0.148918524,-10.39452171
113.615476,-0.046869155,-0.34178564,-0.013356806,-0.552663863,-1.002080321,-11.65462685
113.615476,-0.046869155,-0.34178564,-0.013356806,-0.552663863,-1.002080321,-11.65462685
113.618679,-0.010351827,-0.243954942,-0.001324803,-0.487745702,-1.094930172,-12.1300602
113.622771,0.023697244,-0.160128608,0.006339742,0.536129892,-0.184250787,-12.21322346
113.628182,0.026878217,-0.021919699,-0.024199795,1.246055722,-0.016670406,-13.37011337
